country,class,weatlh,total_2016,crony_2016,clean_2016,total_2010,crony_2010,clean_2010
Argentina,EMERG,12.6,1.382252559,0.836177474,0.546075085,0.646387833,0.646387833,0
Brazil,EMERG,135.1,7.495769882,2.267343486,5.228426396,3.772563177,2.102888087,1.66967509
Britain,ADV,159.6,5.093015093,2.44998245,2.643032643,3.07187017,1.445131376,1.626738794
China*,EMERG,831.4,7.289884469,3.303642296,3.986242173,4.734886863,3.644039176,1.090847687
France,ADV,212,8.57968621,1.015689513,7.563996697,4.718521702,0.292221745,4.426299957
Germany,ADV,467.8,13.20131031,0.675997618,12.52531269,8.202995009,0.276206323,7.926788686
India,EMERG,243.9,11.66427547,3.424198948,8.240076518,16.7544784,10.03161222,6.722866175
Indonesia,EMERG,49.8,5.552968568,3.38766007,2.165308498,0.858585859,0.378787879,0.47979798
Japan,ADV,85.4,2.047053116,0.625757943,1.421295173,1.478081248,0.537066789,0.941014459
Malaysia,EMERG,39.5,13.34459459,11.18243243,2.162162162,17.73809524,16.01190476,1.726190476
Mexico,EMERG,99.6,8.531468531,6.346153846,2.185314685,7.662874871,5.956566701,1.70630817
Philippines,EMERG,41.5,11.9520548,9.554794521,2.397260274,6.147540984,4.262295082,1.885245902
Poland,EMERG,7.9,1.663157894,0.378947368,1.284210526,2.565597668,1.778425656,0.787172012
Russia,EMERG,297.9,22.29433962,19.2,3.094339623,26.85606061,25.24621212,1.609848485
Singapore,EMERG,43.4,13.10580205,9.590443686,3.515358362,11.35135135,11.35135135,0
South Africa,EMERG,21.8,6.96485623,2.460063898,4.504792332,4.227941176,1.838235294,2.389705882
South Korea,EMERG,75.1,5.453885258,0.864197531,4.589687727,1.669960474,0.256916996,1.413043478
Taiwan,EMERG,54.1,10.32442748,3.530534351,6.79389313,6.735218509,4.267352185,2.467866324
Thailand,EMERG,44.9,11.36708861,2.607594937,8.759493671,4.009009009,0,4.009009009
Turkey,EMERG,45.4,6.185286104,2.888283379,3.297002725,6.880907372,4.04536862,2.835538752
Ukraine,EMERG,7.1,7.802197802,6.703296703,1.098901099,12.67857143,12.67857143,0
United States,ADV,2391.3,13.15205884,1.935142364,11.21691648,9.804416859,1.804994226,7.999422633
