country,crony_2016,clean_2016,total_2016,crony_2014,clean_2014,total_2014,crony_change,wealth,wealth_2014
Russia,18.04528302,3.283018868,21.32830189,15.90949821,3.019713262,18.92921147,2.135784811,282.6,422.5
Malaysia,12.97297297,0.371621622,13.34459459,16.09907121,0.340557276,16.43962849,-3.126098234,39.5,53.1
Philippines,11.26712329,2.945205479,14.21232877,11.875,2.867647059,14.74264706,-0.607876712,41.5,40.1
Singapore,10.68259386,4.129692833,14.81228669,11.9205298,3.013245033,14.93377483,-1.237935945,43.4,45.1
Ukraine,6.703296703,1.098901099,7.802197802,13.22222222,1.555555556,14.77777778,-6.518925519,7.1,26.6
Mexico,6.573426573,2.132867133,8.706293706,8.938193344,2.385103011,11.32329636,-2.36476677,99.6,142.9
Indonesia,3.795110594,2.002328289,5.797438883,3.759562842,1.464480874,5.224043716,0.035547752,49.8,47.8
Turkey,3.419618529,2.765667575,6.185286104,2.867557716,2.381530984,5.2490887,0.552060813,45.4,43.2
India,3.357245337,8.307030129,11.66427547,3.617820719,6.054750403,9.672571122,-0.260575382,243.9,180.2
Taiwan,3.187022901,7.13740458,10.32442748,5.46875,9.3359375,14.8046875,-2.281727099,54.1,75.8
China & territories,3.174883147,4.115001323,7.28988447,2.921702041,3.078094851,5.999796892,0.253181105,831.4,593.3
Thailand,2.607594937,8.759493671,11.36708861,1.976190476,6.785714286,8.761904762,0.631404461,44.9,36.8
South Africa,2.460063898,4.504792332,6.96485623,2.923497268,4.016393443,6.939890711,-0.46343337,21.8,25.4
Britain,2.302562303,3.299403299,5.601965602,2.314780686,3.306302986,5.621083672,-0.012218383,159.6,152.5
Brazil,2.267343486,5.228426396,7.495769882,2.726166329,4.685598377,7.411764706,-0.458822843,135.1,192.2
United States,1.826489107,11.48047027,13.30695938,2.238492468,11.72717998,13.96567245,-0.412003362,2394.4,2328.2
Argentina,1.604095563,0.546075085,2.150170648,2.138263666,0.691318328,2.829581994,-0.534168102,12.6,17.6
France,1.143682907,7.609413708,8.753096615,1.141942369,7.228744219,8.370686588,0.001740537,212,235.3
Japan,0.625757943,1.421295173,2.047053116,0.715013241,1.342432267,2.057445508,-0.089255298,85.4,101
South Korea,0.530137981,4.923747277,5.453885258,0.321592649,4.32618683,4.647779479,0.208545332,75.1,60.7
Poland,0.378947368,1.284210526,1.663157894,1.77480916,0.667938931,2.442748091,-1.395861792,7.9,12.8
Germany,0.217391304,13.71351995,13.93091125,0.285638014,10.42979178,10.71542979,-0.06824671,467.8,401.4
